anio,seleccion_id,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,participo
1966,23,,no participo,,,,,,,,,f
1970,23,,no participo,,,,,,,,,f
1974,23,,no participo,,,,,,,,,f
1978,23,,no participo,,,,,,,,,f
1982,23,,no participo,,,,,,,,,f
1986,23,,no participo,,,,,,,,,f
1990,23,,no participo,,,,,,,,,f
1994,23,,no participo,,,,,,,,,f
1998,23,,no participo,,,,,,,,,f
2002,23,,no participo,,,,,,,,,f
2006,23,19,Grupos 1ra Ronda,3,3,1,0,2,5,6,-1,t
2010,23,17,Grupos 1ra Ronda,4,3,1,1,1,4,3,1,t
2014,23,21,Grupos 1ra Ronda,3,3,1,0,2,4,5,-1,t
2018,23,,no participo,,,,,,,,,f
2022,23,,no participo,,,,,,,,,f
2026,23,,clasificado,0,0,0,0,0,0,0,0,t
1930,22,,no participo,,,,,,,,,f
1934,22,,no participo,,,,,,,,,f
1938,22,,no participo,,,,,,,,,f
1950,22,,no participo,,,,,,,,,f
1954,22,,no participo,,,,,,,,,f
1958,22,,no participo,,,,,,,,,f
1962,22,,no participo,,,,,,,,,f
1966,22,,no participo,,,,,,,,,f
1970,22,,no participo,,,,,,,,,f
1974,22,,no participo,,,,,,,,,f
1978,22,,no participo,,,,,,,,,f
1982,22,,no participo,,,,,,,,,f
1986,22,,no participo,,,,,,,,,f
1990,22,13,Octavos de Final,4,4,2,0,2,4,6,-2,t
1994,22,,no participo,,,,,,,,,f
1998,22,,no participo,,,,,,,,,f
2002,22,19,Grupos 1ra Ronda,4,3,1,1,1,5,6,-1,t
2006,22,31,Grupos 1ra Ronda,0,3,0,0,3,3,9,-6,t
2010,22,,no participo,,,,,,,,,f
2014,22,8,Cuartos de Final,9,5,2,3,0,5,2,3,t
2018,22,29,Grupos 1ra Ronda,1,3,0,1,2,2,5,-3,t
2022,22,27,Grupos 1ra Ronda,3,3,1,0,2,3,11,-8,t
2026,22,,,,,,,,,,,t
1930,24,,no participo,,,,,,,,,f
1934,24,,no participo,,,,,,,,,f
1938,24,,no participo,,,,,,,,,f
1950,24,,no participo,,,,,,,,,f
1954,24,,no participo,,,,,,,,,f
1958,24,,no participo,,,,,,,,,f
1962,24,,no participo,,,,,,,,,f
1966,24,,no participo,,,,,,,,,f
1970,24,,no participo,,,,,,,,,f
1974,24,,no participo,,,,,,,,,f
1978,24,,no participo,,,,,,,,,f
1982,24,,no participo,,,,,,,,,f
1986,24,,no participo,,,,,,,,,f
1990,24,,no participo,,,,,,,,,f
1994,24,,no participo,,,,,,,,,f
1998,24,3,Partido 3er Puesto,15,7,5,0,2,11,5,6,t
2002,24,23,Grupos 1ra Ronda,3,3,1,0,2,2,3,-1,t
2006,24,22,Grupos 1ra Ronda,2,3,0,2,1,2,3,-1,t
2010,24,,no participo,,,,,,,,,f
2014,24,19,Grupos 1ra Ronda,3,3,1,0,2,6,6,0,t
2018,24,2,Final,14,7,4,2,1,14,9,5,t
2022,24,3,Partido 3er Puesto,10,7,2,4,1,8,7,1,t
2026,24,,clasificado,0,0,0,0,0,0,0,0,t
1930,25,,no participo,,,,,,,,,f
1934,25,,no participo,,,,,,,,,f
1938,25,7,Cuartos de Final,3,3,1,1,1,5,12,-7,t
1950,25,,no participo,,,,,,,,,f
1954,25,,no participo,,,,,,,,,f
1958,25,,no participo,,,,,,,,,f
1962,25,,no participo,,,,,,,,,f
1966,25,,no participo,,,,,,,,,f
