anio,grupo,posicion,seleccion,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
1986,B,1,México,5,3,2,1,0,4,2,2,True
1986,B,2,Paraguay,4,3,1,2,0,4,3,1,True
1986,B,3,Bélgica,3,3,1,1,1,5,5,0,True
1986,B,4,Iraq,0,3,0,0,3,1,4,-3,False
1986,C,1,URSS,5,3,2,1,0,9,1,8,True
1986,C,2,Francia,5,3,2,1,0,5,1,4,True
1986,C,3,Hungría,2,3,1,0,2,2,9,-7,False
1986,C,4,Canadá,0,3,0,0,3,0,5,-5,False
1986,D,1,Brasil,6,3,3,0,0,5,0,5,True
1986,D,2,España,4,3,2,0,1,5,2,3,True
1986,D,3,Irlanda del Norte,1,3,0,1,2,2,6,-4,False
1986,D,4,Argelia,1,3,0,1,2,1,5,-4,False
1986,E,1,Dinamarca,6,3,3,0,0,9,1,8,True
1986,E,2,Alemania Occidental,3,3,1,1,1,3,4,-1,True
1986,E,3,Uruguay,2,3,0,2,1,2,7,-5,True
1986,E,4,Escocia,1,3,0,1,2,1,3,-2,False
1986,F,1,Marruecos,4,3,1,2,0,3,1,2,True
1986,F,2,Inglaterra,3,3,1,1,1,3,1,2,True
1986,F,3,Polonia,3,3,1,1,1,1,3,-2,True
1986,F,4,Portugal,2,3,1,0,2,2,4,-2,False
1982,A,1,Polonia,4,3,1,2,0,5,1,4,True
1982,A,2,Italia,3,3,0,3,0,2,2,0,True
1982,A,3,Camerún,3,3,0,3,0,1,1,0,False
1982,A,4,Perú,2,3,0,2,1,2,6,-4,False
1982,B,1,Alemania Occidental,4,3,2,0,1,6,3,3,True
1982,B,2,Austria,4,3,2,0,1,3,1,2,True
1982,B,3,Argelia,4,3,2,0,1,5,5,0,False
1982,B,4,Chile,0,3,0,0,3,3,8,-5,False
1982,C,1,Bélgica,5,3,2,1,0,3,1,2,True
1982,C,2,Argentina,4,3,2,0,1,6,2,4,True
1982,C,3,Hungría,3,3,1,1,1,12,6,6,False
1982,C,4,El Salvador,0,3,0,0,3,1,13,-12,False
1982,D,1,Inglaterra,6,3,3,0,0,6,1,5,True
1982,D,2,Francia,3,3,1,1,1,6,5,1,True
1982,D,3,Checoslovaquia,2,3,0,2,1,2,4,-2,False
1982,D,4,Kuwait,1,3,0,1,2,2,6,-4,False
