tarjeta_id,partido_id,seleccion_id,jugador_id,tipo,minuto
2431,714,32,889,amarilla,60
2432,714,32,2589,amarilla,70
2433,714,85,975,amarilla,70
2434,715,67,2590,amarilla,25
2435,715,53,2591,amarilla,71
2436,715,67,2592,amarilla,84
2437,716,5,972,amarilla,26
2438,716,41,2593,amarilla,60
2439,716,5,971,amarilla,60
2440,717,63,2594,amarilla,5
2441,717,63,2595,amarilla,22
2442,717,63,1001,amarilla,29
2443,717,11,2596,amarilla,67
2444,718,83,2597,amarilla,
2445,719,67,920,amarilla,44
2446,719,67,986,amarilla,
2447,720,1,973,amarilla,16
2448,720,1,2598,amarilla,35
2449,720,85,2599,amarilla,36
2450,720,85,2576,amarilla,61
2451,721,63,996,amarilla,22
2452,721,5,2569,amarilla,35
2453,721,63,2559,amarilla,58
2454,722,1,2600,amarilla,11
2455,722,10,987,amarilla,27
2456,722,10,2601,amarilla,28
2457,722,10,956,amarilla,75
2458,722,1,969,amarilla,84
2459,724,5,961,amarilla,72
2460,726,76,2582,amarilla,45
2461,727,85,978,amarilla,
2462,727,85,991,amarilla,
2463,728,1,990,amarilla,23
2464,728,5,2602,amarilla,68
2465,730,10,2603,amarilla,29
2466,730,10,2604,amarilla,37
2467,730,10,2605,amarilla,44
2468,730,63,951,amarilla,69
2469,730,10,2603,roja,84
2470,730,63,2559,amarilla,
2471,731,67,2590,amarilla,71
2472,731,10,987,amarilla,76
2473,732,1,2598,amarilla,3
2474,732,63,2595,amarilla,22
2475,732,63,996,amarilla,39
2476,732,63,1001,amarilla,45
2477,735,72,2606,amarilla,
2478,736,11,2607,amarilla,
2479,736,11,2608,amarilla,
2480,736,10,1995,amarilla,
2481,744,17,1032,amarilla,
2482,745,68,17,amarilla,
2483,745,11,2609,amarilla,
2484,746,5,2610,roja,65
2485,746,1,1010,amarilla,
2486,753,46,2611,amarilla,
2487,754,1,973,amarilla,
2488,754,35,2612,amarilla,
2489,757,68,2613,amarilla,
2490,758,5,2614,roja,35
2491,758,5,1021,amarilla,
2492,758,5,2614,amarilla,
2493,758,5,2615,amarilla,
2494,759,83,2616,roja,49
2495,759,83,2617,roja,54
2496,759,83,2617,amarilla,
2497,759,1,1050,amarilla,
2498,761,72,1048,roja,44
2499,761,1,1010,amarilla,
2500,761,72,2618,amarilla,
2501,764,46,1049,amarilla,
